2204300,YOHIN               ,NWT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2020
2204300,YOHIN               ,NWT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2020
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1957, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     0.4, ,     4.1, ,     8.2, ,     2.7, ,    -6.7, ,   -21.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.2, ,    -8.4, 
 1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.8, ,     1.3, ,     5.9, ,     7.4, ,     3.1, ,    -5.9, ,   -18.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.9, ,    -7.2, 
 1959,   -29.0, ,   -27.2, ,   -29.5, ,   -19.2, ,   -11.3, ,    -1.0, ,     4.8, ,     3.1, ,     0.0, ,    -9.8, ,   -19.9, ,   -22.8, ,   -13.5, , -9999.9,M,   -20.0, ,     2.3, ,    -9.9, 
 1960, -9999.9,M,   -30.0, ,   -29.6, ,   -19.5, ,    -5.8, ,     4.2, ,     6.3, ,     7.0, ,     1.3, ,    -8.3, ,   -22.9, ,   -23.4, , -9999.9,M, -9999.9,M,   -18.3, ,     5.8, ,   -10.0, 
 1961, -9999.9,M,   -30.3, , -9999.9,M,   -20.3, ,    -7.7, ,     5.1, ,     7.7, ,     7.2, ,    -0.8, ,   -11.3, ,   -20.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.7, ,   -10.9, 
 1962, -9999.9,M, -9999.9,M,   -27.4, ,   -18.8, ,   -12.4, ,     4.7, ,     6.9, ,     8.7, ,     2.5, ,    -4.0, ,   -20.4, ,   -23.3, , -9999.9,M, -9999.9,M,   -19.5, ,     6.8, ,    -7.3, 
 1963,   -30.5, ,   -28.6, ,   -30.3, ,   -16.0, ,    -5.0, ,     2.8, ,     7.5, ,     8.1, ,     1.2, ,    -6.8, ,   -20.0, ,   -21.3, ,   -11.6, ,   -27.5, ,   -17.1, ,     6.1, ,    -8.5, 
 1964, -9999.9,M, -9999.9,M,   -31.0, ,   -23.1, ,    -6.2, ,     1.1, ,     5.2, ,     5.9, ,     0.3, ,    -5.8, ,   -17.0, , -9999.9,M, -9999.9,M, -9999.9,M,   -20.1, ,     4.1, ,    -7.5, 
 1965,   -29.7, , -9999.9,M,   -24.8, ,   -17.2, ,    -7.8, ,    -0.1, ,     6.3, ,     6.0, ,    -1.1, ,    -8.3, ,   -21.4, ,   -25.9, , -9999.9,M, -9999.9,M,   -16.6, ,     4.1, ,   -10.3, 
 1966, -9999.9,M,   -28.2, ,   -25.8, ,   -22.6, ,    -3.8, ,     4.3, ,     8.8, ,     6.9, ,     3.6, ,    -9.2, ,   -20.5, ,   -24.8, , -9999.9,M, -9999.9,M,   -17.4, ,     6.7, ,    -8.7, 
 1967,   -30.4, ,   -30.8, ,   -27.2, ,   -18.5, ,    -6.9, ,     0.2, ,     6.0, ,     3.3, ,     0.1, ,    -6.2, ,   -19.3, ,   -21.9, ,   -12.6, ,   -28.7, ,   -17.5, ,     3.2, ,    -8.5, 
 1968,   -32.5,E,   -29.0,E,   -24.1, ,   -20.1, ,    -6.9, ,     4.1, ,     8.1, ,     7.0, ,     2.3, ,    -5.1, ,   -17.5, ,   -25.5,E,   -11.6,E,   -27.8,E,   -17.0, ,     6.4, ,    -6.8, 
 1969,   -32.3,E,   -28.8,E,   -27.0, ,   -16.9, ,    -7.1, ,     0.8, ,     6.1, ,     6.0, ,     2.8, ,    -2.5, ,   -19.0, ,   -19.6, ,   -11.5,E,   -28.9,E,   -17.0, ,     4.3, ,    -6.2, 
 1970,   -28.0,E,   -31.5,E,   -26.7, ,   -20.3, ,    -9.4, ,     3.5, ,     8.0, ,     7.1, ,     0.1, ,    -7.4, ,   -18.5, ,   -30.1,E,   -12.8,E,   -26.4,E,   -18.8, ,     6.2, ,    -8.6, 
 1971,   -30.3,E,   -31.4,E,   -25.0, ,   -19.4, ,    -5.5, ,     4.3, ,     7.9, ,     6.9, ,     2.8, , -9999.9,M,   -22.4, ,   -27.6, , -9999.9,M,   -30.6,E,   -16.6, ,     6.4, , -9999.9,M
 1972,   -31.5, ,   -33.0,E,   -24.9, ,   -23.6, ,    -9.2, ,     1.0, ,     5.0, ,     4.7, ,    -1.4, ,    -9.9, ,   -20.5, ,   -25.2, ,   -14.0,E,   -30.7,E,   -19.2, ,     3.6, ,   -10.6, 
 1973,   -27.5, ,   -30.0,E,   -32.4, ,   -19.2, ,    -4.6, ,     5.0, ,     8.8, ,     8.2, ,     4.5, ,    -4.1, ,   -17.3, ,   -23.3, ,   -11.0,E,   -27.6,E,   -18.7, ,     7.3, ,    -5.6, 
 1974,   -29.5, ,   -32.9, ,   -29.8, ,   -23.4, ,    -7.2, ,     1.4, ,     7.3, ,     3.5, ,    -1.2, ,   -14.2, ,   -21.3, ,   -31.5, ,   -14.9, ,   -28.6, ,   -20.1, ,     4.1, ,   -12.2, 
 1975,   -35.2, ,   -29.3, ,   -28.9, ,   -14.2, ,    -4.1, ,     5.7, ,     5.8, ,     8.3, ,     1.8, ,    -9.0, ,   -22.7, ,   -29.2, ,   -12.6, ,   -32.0, ,   -15.7, ,     6.6, ,   -10.0, 
 1976,   -30.9, ,   -31.3, ,   -29.1, ,   -15.2, ,    -6.5, ,     2.7, ,     7.9, ,     6.8, ,     2.3, ,    -6.4, ,   -17.4, ,   -29.1, ,   -12.2, ,   -30.5, ,   -16.9, ,     5.8, ,    -7.2, 
